Make,FuelType,WheelBase,Length,Width,Height,CurbWeight,Cylinder,EngineSize,Bore,Stroke,CompressionRatio,HorsePower,PeakRPM,MPG,Price
mitsubishi,gas,93.7,157.3,64.4,50.8,1944,four,92,2.97,3.23,9.4,68,5500,50,6.19
mitsubishi,gas,93.7,157.3,64.4,50.8,2004,four,92,2.97,3.23,9.4,68,5500,50,6.67
nissan,gas,95.1,162.4,63.8,53.3,2008,four,97,3.15,3.29,9.4,69,5200,49.5,8.25
renault,gas,96.1,176.8,66.6,50.5,2460,four,132,3.46,3.9,8.7,,,38.5,9.9
saab,gas,99.1,186.6,66.5,56.1,2695,four,121,3.54,3.07,9.3,110,5250,35,12.17
saab,gas,99.1,186.6,66.5,56.1,2758,four,121,3.54,3.07,9.3,110,5250,35,15.51
saab,gas,99.1,186.6,66.5,56.1,2847,four,121,3.54,3.07,9,160,5500,32,18.62
subaru,gas,93.7,156.9,63.4,53.7,2050,four,97,3.62,2.36,9,69,4900,49,5.12
subaru,gas,93.7,157.9,63.6,53.7,2120,four,108,3.62,2.64,8.7,73,4400,41.5,7.05
subaru,gas,93.3,157.3,63.8,55.7,2240,four,108,3.62,2.64,8.7,73,4400,41.5,7.6
toyota,gas,98.4,176.2,65.6,52,2540,four,146,3.62,3.5,9.3,116,4800,39,8.45
toyota,gas,98.4,176.2,65.6,52,2536,four,146,3.62,3.5,9.3,116,4800,39,9.64
toyota,gas,98.4,176.2,65.6,52,2551,four,146,3.62,3.5,9.3,116,4800,39,9.99
toyota,gas,98.4,176.2,65.6,52,2679,four,146,3.62,3.5,9.3,116,4800,39,11.2
toyota,gas,98.4,176.2,65.6,52,2714,four,146,3.62,3.5,9.3,116,4800,39,11.55
toyota,gas,98.4,176.2,65.6,53,2975,four,146,3.62,3.5,9.3,116,4800,39,17.67
volkswagen,diesel,97.3,171.7,65.5,55.7,2261,four,97,3.01,3.4,23,52,4800,60,7.78
volkswagen,gas,97.3,171.7,65.5,55.7,2209,four,109,3.19,3.4,9,85,5250,44,7.98
volkswagen,diesel,97.3,171.7,65.5,55.7,2264,four,97,3.01,3.4,23,52,4800,60,8
volkswagen,gas,97.3,171.7,65.5,55.7,2212,four,109,3.19,3.4,9,85,5250,44,8.2
volkswagen,gas,97.3,171.7,65.5,55.7,2275,four,109,3.19,3.4,9,85,5250,44,8.5
volkswagen,diesel,97.3,171.7,65.5,55.7,2319,four,97,3.01,3.4,23,68,4500,58,9.5
volkswagen,gas,97.3,171.7,65.5,55.7,2300,four,109,3.19,3.4,10,100,5500,42,10
alfa,gas,88.6,168.8,64.1,48.8,2548,four,130,3.47,2.68,9,111,5000,34.5,13.5
alfa,gas,88.6,168.8,64.1,48.8,2548,four,130,3.47,2.68,9,111,5000,34.5,16.5
dodge,gas,95.9,173.2,66.3,50.2,2811,four,156,3.6,3.9,7,145,5000,31,12.96
mazda,gas,95.3,169,65.7,49.6,2380,two,70,,,9.4,101,6000,28.5,10.95
mazda,gas,95.3,169,65.7,49.6,2380,two,70,,,9.4,101,6000,28.5,11.85
mazda,gas,95.3,169,65.7,49.6,2385,two,70,,,9.4,101,6000,28.5,13.65
mazda,gas,95.3,169,65.7,49.6,2500,two,80,,,9.4,135,6000,27.5,15.65
mercedes-benz,gas,96.6,180.3,70.5,50.8,3685,eight,234,3.46,3.1,8.3,155,4750,25,35.06
mitsubishi,gas,96.3,173,65.4,49.4,2370,four,110,3.17,3.46,7.5,116,5500,38,9.96
mitsubishi,gas,96.3,173,65.4,49.4,2328,four,122,3.35,3.46,8.5,88,5000,41,8.5
mitsubishi,gas,95.9,173.2,66.3,50.2,2833,four,156,3.58,3.86,7,145,5000,31,12.63
mitsubishi,gas,95.9,173.2,66.3,50.2,2921,four,156,3.59,3.86,7,145,5000,31,14.87
mitsubishi,gas,95.9,173.2,66.3,50.2,2926,four,156,3.59,3.86,7,145,5000,31,14.49
nissan,gas,91.3,170.7,67.9,49.7,3071,six,181,3.43,3.27,9,160,5200,31.5,17.2
nissan,gas,91.3,170.7,67.9,49.7,3139,six,181,3.43,3.27,7.8,200,5200,28.5,19.7
plymouth,gas,95.9,173.2,66.3,50.2,2818,four,156,3.59,3.86,7,145,5000,31,12.76
porsche,gas,94.5,168.9,68.3,50.2,2778,four,151,3.94,3.11,9.5,143,5500,32.5,22.02
porsche,gas,89.5,168.9,65,51.6,2756,six,194,3.74,2.9,9.5,207,5900,29.5,32.53
porsche,gas,89.5,168.9,65,51.6,2756,six,194,3.74,2.9,9.5,207,5900,29.5,34.03
porsche,gas,89.5,168.9,65,51.6,2800,six,194,3.74,2.9,9.5,207,5900,29.5,37.03
saab,gas,99.1,186.6,66.5,56.1,2658,four,121,3.54,3.07,9.31,110,5250,35,11.85
saab,gas,99.1,186.6,66.5,56.1,2707,four,121,2.54,2.07,9.3,110,5250,35,15.04
saab,gas,99.1,186.6,66.5,56.1,2808,four,121,3.54,3.07,9,160,5500,32,18.15
toyota,gas,102.9,183.5,67.7,52,2976,six,171,3.27,3.35,9.3,161,5200,32,16.56
toyota,gas,102.9,183.5,67.7,52,3016,six,171,3.27,3.35,9.3,161,5200,31,16
volkswagen,gas,94.5,159.3,64.2,55.6,2254,four,109,3.19,3.4,8.5,90,5500,38.5,11.6
volkswagen,gas,94.5,165.7,64,51.4,2221,four,109,3.19,3.4,8.5,90,5500,38.5,9.98
